title	pubmed
A CXCL1 paracrine network links cancer chemoresistance and metastasis	22770218
A Critical Role for Noncoding 5S rRNA in Regulating Mdmx Stability	21925390
A Cul4 E3 ubiquitin ligase regulates histone hand-off during nucleosome assembly	24209620
A NOTCH1-driven MYC enhancer promotes T cell development, transformation and acute lymphoblastic leukemia	25194570
A Signaling Pathway Mediating Downregulation of BCL6 in Germinal Center B Cells Is Blocked by BCL6 Gene Alterations in B Cell Lymphoma	17785208
A mechanism for preventing asymmetric histone segregation onto replicating DNA strands	30115745
A metabolic function of FGFR3-TACC3 gene fusions in cancer	29323298
A novel TLR2-triggered signalling crosstalk synergistically intensifies TNF-mediated IL-6 induction	24758719
A novel enhancer regulates MGMT expression and promotes temozolomide resistance in glioblastoma	30054476
A novel role for histone chaperones CAF-1 and Rtt106p in heterochromatin silencing	17410207
A recurrent point mutation in PRKCA is a hallmark of chordoid gliomas	29915258
A role for Gcn5 in replication-coupled nucleosome assembly	20188666
A signaling pathway mediating downregulation of BCL6 in germinal center B cells is blocked by BCL6 gene alterations in B cell lymphoma	17785208
AID is required for germinal center derived lymphomagenesis	18066064
ARF-BP1 is a critical mediator of the ARF tumor suppressor	15989956
Aberrant TCRδ rearrangement underlies the T cell lymphocytopenia and t(12;14) translocation associated with ATM deficiency	25721125
Acetylation Is Crucial for p53-Mediated Ferroptosis and Tumor Suppression	27705786
Acetylation of histone H3 lysine 56 regulates replication-coupled nucleosome assembly	18662540
Acetylation-regulated interaction between p53 and SET reveals a widespread regulatory mode	27626385
Actionable perturbations of damage responses by TCL1/ATM and epigenetic lesions form the basis of T-PLL	29449575
Activating mutations in the NT5C2 nucleotidase gene drive chemotherapy resistance in relapsed ALL	23377281
Activation of DSB processing requires phosphorylation of CtIP by ATR	23273981
Alobeid B, Bhagat G	32117895
An ATR- and Cdc7-dependent checkpoint that inhibits initiation of DNA replication	12535533
An ID2-dependent mechanism for VHL inactivation in cancer	26735018
